TITLE,PRICE,SOLD,RATING,FEEDBACK,CONDITION,URL
"Vans ""Checkerboard Era"" Sneakers (Racing Red) Skating Classic Era Vulc Shoes",50.0,11,127944,99.8,New with box,https://www.ebay.com/itm/Vans-Checkerboard-Era-Sneakers-Racing-Red-Skating-Classic-Era-Vulc-Shoes/133203395657?var=432546901581&hash=item1f038a8449:m:mZ2xPJDc3cl86aHkggo1Wbg
Vans Slip-On True Racing Red Canvas Classic Shoes All Size Fast Shipping,38.99,15,2,100.0,New with box,https://www.ebay.com/itm/Vans-Slip-On-True-Racing-Red-Canvas-Classic-Shoes-All-Size-Fast-Shipping/174113946149?var=472989332637&hash=item2889fffa25:m:mSoX8rmBP__9RjfqGgXveFw
Vans Slip-On Pro Skate Shoes Black White Red SZ 9 ( VN0A347V6BT ),44.99,0,18824,100.0,New without box,https://www.ebay.com/itm/Vans-Slip-On-Pro-Skate-Shoes-Black-White-Red-SZ-9-VN0A347V6BT/254458321653?hash=item3b3ee5daf5:g:OigAAOSwXMhd-9ex:sc:USPSPriority!91709!US!-1
"Vans ""Classic Slip-On"" Sneakers (Racing Red/TrueWhite) Men's Skateboarding Shoes",50.0,20,127944,99.8,New with box,https://www.ebay.com/itm/Vans-Classic-Slip-On-Sneakers-Racing-Red-TrueWhite-Mens-Skateboarding-Shoes/163905821303?var=463509700628&hash=item26298c5a77:m:m8iXh0q6a806v0pks4Uky5g
Vans Old Skool CANVAS Formula One RED/WHITE UNISEX SKATEBOARDING SHOE,44.94,3,2388,99.9,New with box,https://www.ebay.com/itm/Vans-Old-Skool-CANVAS-Formula-One-RED-WHITE-UNISEX-SKATEBOARDING-SHOE/143456979502?var=442412753851&_trkparms=ispr%3D1&hash=item2166b3ca2e:m:ml3EYkEhWXJ4SafD1tPnzfQ&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qXMOAzJGRrROxNI3VhaYLPs79Ebj1jxp0f2W4D4j0zNxiS6kq7zgVy0vNQogwcCtx2WABv%2FD%2FHTMnNklxR7s2fLtRVLIgaKx1xq%2FPnOPypYLcEjW7Az273IOKcNlvRyiIDvZbx8OrWVXjyIOh497KfHW9Jouovk4djKCUr4GfxSDtIoRaeiRFzjU5nVmyHJfn36kg0%2FQfdDHn6BuMFfa57uPcFc2FXqwdJrwy83t1FCHoJygmav%2FOc1OkaQDvoFa9Kh6Jgaqk8tG7a1pc5oUm6Yf46pKhiUdVlJbrRsbSiqevpL7V4FZSFGAd7x4t2DnzC4OkVtZXRTnxZGDdRv07pxkRk7prFgqgVW5x8HAvnbb6Urozvtsg33kHNlrreSWyZPVEy4V%2F44ILT1%2BcS%2BcV63G3umDQsH6zS6vgMZtmeNMcoJs6l2S%2BctnDIco4aXnqu1Z6lFm0yw1HPOn2afblLB9FrhLdrfd9wT9hl0hRjh%2BEoN26ITeaDOPT6jNrZxpEoiQ9sy6BPndNJdCvtiosqiTykC%2FHKXxo8rESeAi4Of8cXUTnXgrqaatafOACmx07owpoc8LHfKSC6Fpe84JOo6EKvcqL8xqTcYoLjPIQgD46HDgBxp6K1Zc3P5kuUtL2EDSL0VDJ4fJf%2BgaY25o7h16QrI3xgxeBUfhsZarUSCYCJjpl8Cse0plTjoRC6VCi4%2BagX9IFvGPUK5H9X%2F7%2Fm%2FlgBdjDOLx70tes6gA1jqtw%3D%3D&checksum=143456979502f64ee27560de45e1aa3ed70d7e03c21d&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qXMOAzJGRrROxNI3VhaYLPs79Ebj1jxp0f2W4D4j0zNxiS6kq7zgVy0vNQogwcCtx2WABv%2FD%2FHTMnNklxR7s2fLtRVLIgaKx1xq%2FPnOPypYLcEjW7Az273IOKcNlvRyiIDvZbx8OrWVXjyIOh497KfHW9Jouovk4djKCUr4GfxSDtIoRaeiRFzjU5nVmyHJfn36kg0%2FQfdDHn6BuMFfa57uPcFc2FXqwdJrwy83t1FCHoJygmav%2FOc1OkaQDvoFa9Kh6Jgaqk8tG7a1pc5oUm6Yf46pKhiUdVlJbrRsbSiqevpL7V4FZSFGAd7x4t2DnzC4OkVtZXRTnxZGDdRv07pxkRk7prFgqgVW5x8HAvnbb6Urozvtsg33kHNlrreSWyZPVEy4V%2F44ILT1%2BcS%2BcV63G3umDQsH6zS6vgMZtmeNMcoJs6l2S%2BctnDIco4aXnqu1Z6lFm0yw1HPOn2afblLB9FrhLdrfd9wT9hl0hRjh%2BEoN26ITeaDOPT6jNrZxpEoiQ9sy6BPndNJdCvtiosqiTykC%2FHKXxo8rESeAi4Of8cXUTnXgrqaatafOACmx07owpoc8LHfKSC6Fpe84JOo6EKvcqL8xqTcYoLjPIQgD46HDgBxp6K1Zc3P5kuUtL2EDSL0VDJ4fJf%2BgaY25o7h16QrI3xgxeBUfhsZarUSCYCJjpl8Cse0plTjoRC6VCi4%2BagX9IFvGPUK5H9X%2F7%2Fm%2FlgBdjDOLx70tes6gA1jqtw%3D%3D&checksum=143456979502f64ee27560de45e1aa3ed70d7e03c21d
Vans Court Icon Red & Marshmallow White Skate Shoes Mens 9,29.99,0,3205,99.8,New without box,https://www.ebay.com/itm/Vans-Court-Icon-Red-Marshmallow-White-Skate-Shoes-Mens-9/274065271772?_trkparms=ispr%3D1&hash=item3fcf902bdc:g:SMAAAOSwEGVdsNi1&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qVhKg1c0y73C4v50hwrAiVV7%2Fxs58YLxmrYqxEbrUdS0QCwc%2F9y6VzX64sfT20vC7vny%2F5SIum8AiI8l4HS3gZP%2FvaPXfWlx7Pl28a5sBNdUM470GsxjDCeWJ5U%2ByW0MUL%2F6gmLYzz%2B2wuEbJUfu5ycaNFeWd%2Bm%2BlyLBz1yRipCjVBJsdyUkiCk3b0s%2FS5cNxzGECjFkIjnPSt5QWBUZ8bntlbhycvJTtCZMAWkDBvDfVf%2Bsde1VZFIzOEo2gNbb1fx1YpOEa629AvcVvDe9ug9AoFNGjMev5SV%2BXr%2Bo6ZfwoOJ3OMTIg0q3cjVLDb0Za9XMGLPOecnyt7HVcJVaLicSFgjn5rHeZxB5OjXTM%2FGU3Bm%2FMdaq6enz5T9%2BuAgoxEpP26wZPN5SHUvk7mrvoL7rFVr2DSgeY6GD3or3XVhr6qqH96cYbQCgDCsaDawrKmuiVnQ27Ul1owjStGR51haHwGmDDkOYzAeEP7iofrLdV4DMOJmzkxQ5JmYTak%2FogymhqJG%2FV0tYVWz6aVSlVYv%2BsEj0KeUOHaWvL%2BtpUtS8sjvjdLebV0Lb%2FVWlLdxIqcmo3pB8mP2V3WTHq%2BiFubrQmg4%2FIOEprhRIjuYPAf%2BWMXCf5oucesuLyXsPOt7vg6r%2BLzI5rff3IPk%2FLN91FzIdrCHdWXl978MXdyTe2ogzuQ3UzVGZApTJghE9xkBxC0LHnmAALoQFHv8YaNQQwp9RKDx7W3kG0KVFvNBiLZfKQ%3D%3D&checksum=274065271772f64ee27560de45e1aa3ed70d7e03c21d&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qVhKg1c0y73C4v50hwrAiVV7%2Fxs58YLxmrYqxEbrUdS0QCwc%2F9y6VzX64sfT20vC7vny%2F5SIum8AiI8l4HS3gZP%2FvaPXfWlx7Pl28a5sBNdUM470GsxjDCeWJ5U%2ByW0MUL%2F6gmLYzz%2B2wuEbJUfu5ycaNFeWd%2Bm%2BlyLBz1yRipCjVBJsdyUkiCk3b0s%2FS5cNxzGECjFkIjnPSt5QWBUZ8bntlbhycvJTtCZMAWkDBvDfVf%2Bsde1VZFIzOEo2gNbb1fx1YpOEa629AvcVvDe9ug9AoFNGjMev5SV%2BXr%2Bo6ZfwoOJ3OMTIg0q3cjVLDb0Za9XMGLPOecnyt7HVcJVaLicSFgjn5rHeZxB5OjXTM%2FGU3Bm%2FMdaq6enz5T9%2BuAgoxEpP26wZPN5SHUvk7mrvoL7rFVr2DSgeY6GD3or3XVhr6qqH96cYbQCgDCsaDawrKmuiVnQ27Ul1owjStGR51haHwGmDDkOYzAeEP7iofrLdV4DMOJmzkxQ5JmYTak%2FogymhqJG%2FV0tYVWz6aVSlVYv%2BsEj0KeUOHaWvL%2BtpUtS8sjvjdLebV0Lb%2FVWlLdxIqcmo3pB8mP2V3WTHq%2BiFubrQmg4%2FIOEprhRIjuYPAf%2BWMXCf5oucesuLyXsPOt7vg6r%2BLzI5rff3IPk%2FLN91FzIdrCHdWXl978MXdyTe2ogzuQ3UzVGZApTJghE9xkBxC0LHnmAALoQFHv8YaNQQwp9RKDx7W3kG0KVFvNBiLZfKQ%3D%3D&checksum=274065271772f64ee27560de45e1aa3ed70d7e03c21d
Vans Sk8-Hi Reissue Japanese Type Black/Red Checkerboard Men 7/ Women 8.5,0.0,0,115,100.0,New without box,https://www.ebay.com/itm/Vans-Sk8-Hi-Reissue-Japanese-Type-Black-Red-Checkerboard-Men-7-Women-8-5/233439185126?epid=2306475350&hash=item365a0f48e6:g:xsEAAOSwA5Rd-5Tj
Vans Old Skool Red Men's size 11 Brand New,39.99,0,48,100.0,New without box,https://www.ebay.com/itm/Vans-Old-Skool-Red-Mens-size-11-Brand-New/333439889798?hash=item4da290f186:g:yZQAAOSwy9Zd9uho
Vans Checkerboard Slip On - Red Size 9.5 Men 11.0 Women,0.0,0,16,100.0,Pre-owned,https://www.ebay.com/itm/Vans-Checkerboard-Slip-On-Red-Size-9-5-Men-11-0-Women/264565939295?hash=item3d995bdc5f:g:mDkAAOSwvMBd894~
Vans Old Skool ( PRIMARY CHECK) RACING RED/WHITE Classic Canvas/Suede Fast ship,56.85,26,14576,99.8,New with box,https://www.ebay.com/itm/Vans-Old-Skool-PRIMARY-CHECK-RACING-RED-WHITE-Classic-Canvas-Suede-Fast-ship/173793099413?var=472470272503&hash=item2876e03e95:m:migd1IVHBWG8ZWxpKh9oPaw:sc:USPSPriority!91709!US!-1
